"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"remove","Imperious Mindbreaker","","0.1393","0.1393","","","","","","","Présent dans 13.9% des decklists similaires","v3"
"remove","Jace, Memory Adept","","0.1486","0.1486","","","","","","","Présent dans 14.9% des decklists similaires","v3"
"remove","Mesmeric Orb","","0.1572","0.1572","","","","","","","Présent dans 15.7% des decklists similaires","v3"
"remove","Didn't Say Please","","0.1633","0.1633","","","","","","","Présent dans 16.3% des decklists similaires","v3"
"remove","Vashta Nerada","","0.1831","0.1831","","","","","","","Présent dans 18.3% des decklists similaires","v3"
"remove","Psychosis Crawler","","0.186","0.186","","","","","","","Présent dans 18.6% des decklists similaires","v3"
"remove","Silent Hallcreeper","","0.1873","0.1873","","","","","","","Présent dans 18.7% des decklists similaires","v3"
"remove","Negate","","0.2097","0.2097","","","","","","","Présent dans 21.0% des decklists similaires","v3"
"remove","Phenax, God of Deception","","0.2339","0.2339","","","","","","","Présent dans 23.4% des decklists similaires","v3"
"remove","Kindred Discovery","","0.2391","0.2391","","","","","","","Présent dans 23.9% des decklists similaires","v3"
