Section,Card Name,Score,Support,Deck Frequency,Vector Score,Synergy,EDHREC,Mana Curve,Quality,Roles,Reason,Algorithm
add,Simic Growth Chamber,1538,0.8077,1.0,0.783,0.37,0.85,0.75,0.9117,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 281)",v3
add,"Nissa, Resurgent Animist",1533,0.6778,1.0,0.8204,0.71,0.4,1.0,0.5928,ramp|etb_synergy|tribal_synergy|landfall,"Rôles utiles pour la stratégie : landfall, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Mana value cohérente (3.0)",v3
add,"Titania, Protector of Argoth",1530,0.7373,1.0,0.7898,0.54,0.65,0.8,0.763,etb_synergy|token_generation|graveyard_synergy|recursion,"Rôles utiles pour la stratégie : etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 1100) | Mana value cohérente (5.0)",v3
add,Verdant Catacombs,1527,0.8301,1.0,0.7685,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 47)",v3
add,Cultivate,1524,0.8166,1.0,0.8002,0.19,1.0,1.0,0.9991,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 20) | Mana value cohérente (3.0)",v3
add,Polluted Delta,1520,0.8182,1.0,0.7671,0.24,1.0,0.75,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 37)",v3
add,Marsh Flats,1520,0.8151,1.0,0.7711,0.24,1.0,0.75,0.9983,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 50)",v3
add,Gruul Turf,1519,0.7722,1.0,0.7804,0.37,0.85,0.75,0.8922,ramp|etb_synergy,"Rôles utiles pour la stratégie : etb_synergy, ramp | Bonne présence dans les decklists similaires | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 413)",v3
add,Farseek,1517,0.8565,1.0,0.7753,0.14,1.0,1.0,1.0,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 23) | Mana value cohérente (2.0)",v3
add,Ketria Triome,1515,0.8441,1.0,0.7485,0.29,0.85,0.75,0.9318,ramp|card_draw,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 356)",v3
add,Spelunking,1510,0.5331,1.0,0.8124,0.71,0.65,1.0,0.6507,card_draw|etb_synergy|lifegain|enchantment_synergy,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 701) | Mana value cohérente (3.0)",v3
add,Zendikar's Roil,1507,0.6902,1.0,0.8202,0.52,0.65,0.8,0.7371,etb_synergy|token_generation|landfall|enchantment_synergy,"Rôles utiles pour la stratégie : landfall, etb_synergy, token_generation | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy, token_generation | Très bien classé EDHREC (rank 1915) | Mana value cohérente (5.0)",v3
add,Bloodstained Mire,1505,0.7933,1.0,0.7607,0.24,1.0,0.75,0.9863,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 43)",v3
add,Raugrin Triome,1493,0.8028,1.0,0.749,0.29,0.85,0.75,0.909,ramp|card_draw,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 493)",v3
add,Kodama's Reach,1492,0.7618,1.0,0.7886,0.19,1.0,1.0,0.969,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 36) | Mana value cohérente (3.0)",v3
add,Rampant Growth,1491,0.7495,1.0,0.8058,0.19,1.0,1.0,0.9623,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 26) | Mana value cohérente (2.0)",v3
add,Garruk's Uprising,1485,0.4392,1.0,0.8195,0.57,1.0,1.0,0.7916,card_draw|etb_synergy|enchantment_synergy,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 92) | Mana value cohérente (3.0)",v3
add,Jetmir's Garden,1484,0.7671,1.0,0.7793,0.29,0.85,0.75,0.8894,ramp|card_draw,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 355)",v3
add,Druid Class,1479,0.5132,1.0,0.8367,0.64,0.65,1.0,0.6398,ramp|etb_synergy|lifegain|landfall|enchantment_synergy,"Rôles utiles pour la stratégie : landfall, etb_synergy, ramp | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1523) | Mana value cohérente (2.0)",v3
add,Spara's Headquarters,1477,0.7696,1.0,0.7526,0.29,0.85,0.75,0.8908,ramp|card_draw,"Rôles utiles pour la stratégie : card_draw, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 389)",v3
add,Cultivator Colossus,1475,0.5942,1.0,0.8016,0.61,0.65,0.6,0.6843,card_draw|etb_synergy,"Rôles utiles pour la stratégie : card_draw, etb_synergy | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Synergise avec les ETB : etb_synergy | Très bien classé EDHREC (rank 1555)",v3
add,Evolving Wilds,1471,0.7625,1.0,0.7659,0.19,1.0,0.75,0.9694,ramp|tutor,"Rôles utiles pour la stratégie : tutor, ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 17)",v3
