Section,Card Name,Score,Support,Deck Frequency,Vector Score,Synergy,EDHREC,Mana Curve,Quality,Roles,Reason,Algorithm
add,"Otawara, Soaring City",1359,0.792,0.75,0.7853,0.17,1.0,0.75,0.9856,ramp|blink|artifact_synergy|enchantment_synergy,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 90),v3
add,Sol Ring,1358,0.9534,0.75,0.7386,0.0,1.0,0.75,1.0,ramp|artifact_synergy,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 1),v3
add,Force of Will,1358,0.6548,0.75,0.7777,0.428,0.85,0.8,0.8276,counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 190) | Mana value cohérente (5.0),v3
add,Pull from Tomorrow,1353,0.8635,0.75,0.7608,0.238,0.65,1.0,0.8324,card_draw,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 926) | Mana value cohérente (2.0),v3
add,Swiftfoot Boots,1351,0.7609,0.75,0.7374,0.19,1.0,1.0,0.9685,protection|artifact_synergy|voltron_only,Rôles utiles pour la stratégie : protection | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 12) | Mana value cohérente (2.0),v3
add,Opt,1344,0.7861,0.75,0.7648,0.238,0.85,0.75,0.8999,card_draw,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 214),v3
add,Rhystic Study,1342,0.79,0.75,0.7503,0.12,1.0,1.0,0.9845,card_draw|enchantment_synergy,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 41) | Mana value cohérente (3.0),v3
add,Lórien Revealed,1341,0.7685,0.75,0.7643,0.358,0.65,0.8,0.7801,ramp|tutor,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1195) | Mana value cohérente (5.0),v3
add,Preordain,1332,0.6733,0.75,0.7607,0.358,0.85,0.75,0.8378,card_draw,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 219),v3
add,Ponder,1330,0.7503,0.75,0.7812,0.238,0.85,0.75,0.8802,card_draw,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 146),v3
add,Muddle the Mixture,1329,0.5868,0.75,0.7732,0.528,0.65,1.0,0.6802,counterspell|tutor,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Bonne synergie avec le texte du commandant | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 667) | Mana value cohérente (2.0),v3
add,Wavebreak Hippocamp,1321,0.8848,0.75,0.7576,0.27,0.4,1.0,0.7066,card_draw|enchantment_synergy,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Mana value cohérente (3.0),v3
add,Mystic Remora,1317,0.7282,0.75,0.7572,0.17,1.0,0.75,0.9505,card_draw|enchantment_synergy,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 96),v3
add,Spellgyre,1311,0.4702,1.0,0.7923,0.478,0.4,0.8,0.4786,card_draw|counterspell,"Rôles utiles pour la stratégie : card_draw, counterspell | Instant/Rituel (densite souhaitee) | Mana value cohérente (4.0)",v3
add,Blur,1306,0.8635,0.75,0.7872,0.238,0.4,1.0,0.6949,card_draw|targeted_removal,Rôles utiles pour la stratégie : card_draw | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Mana value cohérente (3.0),v3
add,Refute,1303,0.4181,1.0,0.7915,0.358,0.65,1.0,0.5875,card_draw|counterspell,"Rôles utiles pour la stratégie : card_draw, counterspell | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 1986) | Mana value cohérente (3.0)",v3
add,Castle Vantress,1301,0.7973,0.75,0.7745,0.22,0.65,0.75,0.796,ramp,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 944),v3
add,Wizard Class,1300,0.5625,1.0,0.7643,0.22,0.65,0.75,0.6669,ramp|card_draw|counter_synergy|enchantment_synergy,"Rôles utiles pour la stratégie : ramp, card_draw | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 651)",v3
add,Spell Swindle,1299,0.5493,1.0,0.7728,0.358,0.4,0.8,0.5221,ramp|token_generation|counterspell,"Rôles utiles pour la stratégie : ramp, counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Mana value cohérente (5.0)",v3
add,Strix Serenade,1298,0.7001,0.75,0.7504,0.358,0.65,0.75,0.7425,token_generation|counterspell,Rôles utiles pour la stratégie : counterspell | Bonne présence dans les decklists similaires | Instant/Rituel (densite souhaitee) | Très bien classé EDHREC (rank 938),v3
add,Wayfarer's Bauble,1298,0.7968,0.75,0.7502,0.12,0.85,0.75,0.9058,ramp|artifact_synergy|tutor,Rôles utiles pour la stratégie : ramp | Bonne présence dans les decklists similaires | Très bien classé EDHREC (rank 116),v3
