"Section","Card Name","Score","Support","Deck Frequency","Vector Score","Synergy","EDHREC","Mana Curve","Quality","Roles","Reason","Algorithm"
"remove","Ayara, First of Locthwain","","0.0039","0.0039","","","","","","","Présent dans 0.4% des decklists similaires","v3"
"remove","Morbid Opportunist","","0.0039","0.0039","","","","","","","Présent dans 0.4% des decklists similaires","v3"
"remove","Pile On","","0.0052","0.0052","","","","","","","Présent dans 0.5% des decklists similaires","v3"
"remove","Leaf Gilder","","0.0118","0.0118","","","","","","","Présent dans 1.2% des decklists similaires","v3"
"remove","Elderfang Disciple","","0.0121","0.0121","","","","","","","Présent dans 1.2% des decklists similaires","v3"
"remove","Nissa, Ascended Animist","","0.0147","0.0147","","","","","","","Présent dans 1.5% des decklists similaires","v3"
"remove","Evolution Sage","","0.0147","0.0147","","","","","","","Présent dans 1.5% des decklists similaires","v3"
"remove","Wardens of the Cycle","","0.02","0.02","","","","","","","Présent dans 2.0% des decklists similaires","v3"
"remove","Feed the Swarm","","0.0448","0.0448","","","","","","","Présent dans 4.5% des decklists similaires","v3"
"remove","Kenrith's Transformation","","0.0461","0.0461","","","","","","","Présent dans 4.6% des decklists similaires","v3"
"remove","Overrun","","0.0465","0.0465","","","","","","","Présent dans 4.7% des decklists similaires","v3"
"remove","Llanowar Loamspeaker","","0.0468","0.0468","","","","","","","Présent dans 4.7% des decklists similaires","v3"
"remove","Oakhame Adversary","","0.051","0.051","","","","","","","Présent dans 5.1% des decklists similaires","v3"
